ID,Policy Start Date,Policy End Date,Gender,Age,First Transaction Date,No_Pol,Car_Category,Subject_Car_Colour,Subject_Car_Make,LGA_Name,State,ProductName,target
ID_FSHXB74,6/11/2000,6/11/2001,Female,36,6/11/2000,2,Saloon,Grey,Toyota,,,Car Classic,0
ID_LFRNGHB,6/23/2000,6/23/2001,Male,41,6/23/2000,1,,,Honda,Obio-Akpor,Rivers,Car Classic,0
ID_QK86HQ3,6/25/2000,6/25/2001,Entity,30,6/25/2000,1,Saloon,Black,Honda,,,Car Classic,1
ID_WGXNUS0,6/27/2000,6/27/2001,Male,49,6/27/2000,1,,,,,,Car Classic,0
ID_CVI7PJG,7/4/2000,7/4/2001,Female,49,7/4/2000,1,Saloon,Red,Hyundai,Eti-Osa,Lagos,CarFlex,0
ID_K5GNLS9,7/23/2000,7/23/2001,Male,43,7/23/2000,5,,,,Gboko,Benue,CarSafe,0
ID_E3U6GB1,8/17/2000,8/17/2001,Male,37,8/17/2000,5,Saloon,Grey,Toyota,Ikorodu,Lagos,Car Classic,1
ID_81HMRT8,9/2/2000,9/2/2001,Male,40,9/2/2000,1,Saloon,Blue,Toyota,Nsukka,Enugu,Car Classic,0
ID_XVBKEC4,9/7/2000,9/7/2001,Male,34,9/7/2000,1,Saloon,Red,Toyota,Ikeja,Lagos,Car Classic,0
ID_VOH16EF,9/7/2000,9/7/2001,,120,9/7/2000,1,,Unknown,Toyota,,,Muuve,0
ID_TLEW666,9/14/2000,9/14/2001,Entity,10,9/14/2000,3,Pick Up,Blue,Ford,,,CVTP,1
ID_45W0LED,10/6/2000,10/6/2001,Joint Gender,1,10/6/2000,2,,,,,,CarSafe,0
ID_A3YKMEM,10/10/2000,10/10/2001,Entity,20,10/10/2000,5,,Unknown,DAF,,,CVTP,1
ID_K8TRGK2,10/13/2000,10/13/2001,Male,48,10/13/2000,2,Saloon,Gold,Toyota,Nasarawa,Kano,Car Classic,0
ID_BCUIMV0,10/21/2000,10/21/2001,Entity,10,10/21/2000,4,Bus,Unknown,Hyundai,Obio-Akpor,Rivers,CVTP,1
ID_X5ZALW9,10/27/2000,10/27/2001,Male,48,10/27/2000,1,Saloon,Red,Toyota,Kuje,Abuja,Car Classic,1
ID_XBI7KSU,11/7/2000,11/7/2001,Male,34,11/7/2000,4,,,,Effurun,Delta,Car Classic,0
ID_NM6Z6ZQ,11/14/2000,11/14/2001,Female,53,11/14/2000,4,Saloon,White,Honda,,,Car Classic,1
ID_D968ZRM,11/26/2000,11/26/2001,Female,50,11/26/2000,1,SUV,Ash,Volvo,Bwari,Abuja,Car Classic,1
ID_BR1RUG3,12/4/2000,12/4/2001,Female,36,12/4/2000,4,,,Toyota,,,Car Classic,1
ID_WKPEO4J,12/16/2000,12/16/2001,Male,40,12/16/2000,5,Saloon,Black,Kia,Effurun,Delta,Car Classic,0
ID_E70KEJX,12/18/2000,12/18/2001,Female,40,12/18/2000,2,Saloon,Silver,Honda,Nsukka,Enugu,CarSafe,0
ID_9B2NPNG,12/24/2000,12/24/2001,Male,35,12/24/2000,2,Saloon,Black,Toyota,Bonny,Rivers,CarSafe,0
ID_CR1QSJY,12/24/2000,12/24/2001,Female,38,12/24/2000,5,,Unknown,Toyota,,,Car Classic,0
ID_SPXFNN4,12/25/2000,12/25/2001,Male,51,12/25/2000,2,SUV,Red,Toyota,,,Customized Motor,0
ID_B8KSX8R,12/26/2000,12/26/2001,Male,52,12/26/2000,1,Saloon,Blue,Toyota,Obio-Akpor,Rivers,Car Classic,1
ID_TWPU20G,12/27/2000,12/27/2001,Male,33,12/27/2000,3,Saloon,Blue,Kia,,,Car Classic,1
ID_H2JYFHR,12/28/2000,12/28/2001,Male,28,12/28/2000,2,Saloon,Silver,Toyota,Obio-Akpor,Rivers,Car Plus,0
ID_9GZY9GU,12/29/2000,12/29/2001,Entity,20,12/29/2000,1,,,Mercedes,,,CVTP,1
ID_CF95F72,12/30/2000,12/30/2001,Female,31,12/30/2000,2,,Blue,Toyota,Otukpo,Benue,Car Plus,0
ID_1VUPFFM,12/31/2000,12/31/2001,Female,31,12/31/2000,2,,,,,,Car Classic,0
ID_MGSDK6X,1/4/2001,1/4/2002,Male,31,1/4/2001,2,Saloon,Black,Toyota,Port Harcourt,Rivers,Car Classic,0
ID_PDI75WZ,1/9/2001,1/9/2002,Female,29,1/9/2001,5,Saloon,White,Lexus,,,Car Classic,0
ID_97GX3WK,1/17/2001,1/17/2002,Male,48,1/17/2001,5,Saloon,Black,Toyota,Tarauni,Kano,Car Classic,0
ID_27HH31D,1/20/2001,1/20/2002,Male,31,1/20/2001,1,Saloon,Wine,Honda,Bonny,Rivers,Car Classic,0
ID_B7D7IZR,1/21/2001,1/21/2002,Male,32,1/21/2001,5,SUV,Silver,Toyota,,,Car Classic,1
ID_7VQ3JJ4,1/23/2001,1/23/2002,Male,45,1/23/2001,5,,,,,,Car Classic,1
ID_I92N2LE,2/13/2001,2/13/2002,Male,34,2/13/2001,2,Saloon,Black,Toyota,,,Car Classic,0
ID_IDOMKHO,2/23/2001,2/23/2002,Male,48,2/23/2001,5,Truck,Blue,Mack,Effurun,Delta,CVTP,1
ID_12Q01NN,2/25/2001,2/25/2002,Male,58,2/25/2001,5,Saloon,Silver,Honda,,,CarSafe,0
ID_CBN5N4U,3/3/2001,3/3/2002,Male,30,3/3/2001,1,,,,,,CarSafe,0
ID_DQQZ757,3/4/2001,3/4/2002,Male,20,3/4/2001,1,Saloon,White,Honda,,,CarSafe,0
ID_G9BRR6E,3/8/2001,3/8/2002,Female,31,3/8/2001,3,Saloon,White,Toyota,Kaduna-South,Kaduna,CarSafe,0
ID_0F1JIXI,3/12/2001,3/12/2002,Female,60,3/12/2001,5,,Black,Lexus,Surulere,Lagos,Car Classic,1
ID_ZSE8EJU,3/19/2001,3/19/2002,Male,35,3/19/2001,3,Saloon,Gold,Toyota,,,Car Classic,1
ID_X8UJVW7,3/19/2001,3/19/2002,Male,38,3/19/2001,5,Saloon,Silver,Nissan,Epe,Lagos,CarSafe,1
ID_6I04XX5,4/5/2001,4/5/2002,Female,50,4/5/2001,2,SUV,Black,Lexus,Kaduna-South,Kaduna,Customized Motor,0
ID_CP33H9I,4/7/2001,4/7/2002,Female,37,4/7/2001,5,,,Hyundai,Ojo,Lagos,Car Classic,1
ID_NWSOBRP,4/11/2001,4/11/2002,Female,33,4/11/2001,5,Saloon,Grey,Lexus,,,Car Classic,0
ID_S9EN93S,4/13/2001,4/13/2002,Entity,20,4/13/2001,4,Truck,Unknown,DAF,,,CVTP,0
ID_ZTTBXY2,4/15/2001,4/15/2002,Male,45,4/15/2001,2,,,Honda,,,Car Classic,0
ID_71P2NQ4,4/22/2001,4/22/2002,Female,51,4/22/2001,3,SUV,Grey,Mercedes,Kaduna-North,Kaduna,Car Classic,1
ID_WY15G6D,4/27/2001,4/27/2002,Male,45,4/27/2001,3,SUV,Black,Toyota,Obio-Akpor,Rivers,Car Classic,1
ID_9QZOI6O,5/4/2001,5/4/2002,Female,37,5/4/2001,5,SUV,Black,Toyota,Warri South,Delta,Car Classic,0
ID_VS4HCTB,5/7/2001,5/7/2002,Male,59,5/7/2001,5,,,Toyota,Sagamu,Ogun,Car Classic,0
ID_95WN3ZP,5/14/2001,5/14/2002,Male,42,5/14/2001,3,,White,Iveco,,,CVTP,0
ID_VE90DSQ,5/19/2001,5/19/2002,Female,72,5/19/2001,1,Saloon,Black,Toyota,,,Car Classic,0
ID_Q0US20R,6/1/2001,6/1/2002,Female,50,6/1/2001,2,Saloon,Black,Toyota,,,Car Classic,1
ID_D64C1UD,6/4/2001,6/4/2002,Male,20,6/4/2001,2,,,Toyota,Sagamu,Ogun,CarSafe,0
ID_N9QB5EC,6/16/2001,6/16/2002,Female,2,6/16/2001,4,Saloon,Black,Toyota,,,Car Classic,0
ID_XKY0W1Z,6/17/2001,6/17/2002,Female,31,6/17/2001,2,Saloon,White,Honda,,,CarSafe,0
ID_P7DHLWN,6/17/2001,6/17/2002,Entity,20,6/17/2001,2,Bus,Unknown,Toyota,Bonny,Rivers,CVTP,1
ID_7B5940Q,6/23/2001,6/23/2002,Female,35,6/23/2001,2,SUV,Black,Toyota,Otukpo,Benue,CarFlex,0
ID_PTVDH1D,6/23/2001,6/23/2002,Female,40,6/23/2001,1,SUV,White,Toyota,Ibadan-North,Oyo,Car Plus,0
ID_B7C9B2S,6/26/2001,6/26/2002,Male,50,6/26/2001,5,Saloon,Red,Honda,Eti-Osa,Lagos,CarSafe,0
ID_120TRM5,7/1/2001,7/1/2002,Male,44,7/1/2001,3,SUV,Red,Hyundai,,,CarSafe,0
ID_P63K3ER,7/1/2001,7/1/2002,Male,50,7/1/2001,1,Saloon,Red,Hyundai,Kosofe,Lagos,Car Classic,1
ID_SOKVWLH,7/6/2001,7/6/2002,Entity,10,7/6/2001,2,,,,Tarauni,Kano,CVTP,1
ID_G9V1JAW,7/7/2001,7/7/2002,Male,49,7/7/2001,5,,Black,Toyota,Port Harcourt,Rivers,Car Classic,0
ID_DI0WBZK,7/12/2001,7/12/2002,Male,20,7/12/2001,2,Saloon,Blue,Toyota,Ibadan-North,Oyo,Car Classic,0
ID_UQOB2JC,7/14/2001,7/14/2002,Joint Gender,53,7/14/2001,1,Mini Bus,Ash,Pontiac,Ogbomoso,Oyo,Car Classic,0
ID_SA8N6S2,7/19/2001,7/19/2002,Male,40,7/19/2001,4,SUV,Black,Hyundai,,,Car Classic,0
ID_AIJQ0D9,8/4/2001,8/4/2002,Male,42,8/4/2001,4,Saloon,Grey,Toyota,,,Car Classic,1
ID_VUT1OT3,8/9/2001,8/9/2002,,120,8/9/2001,5,,Unknown,Toyota,Enugu-North,Enugu,Muuve,0
ID_YT7AH3L,8/10/2001,8/10/2002,Male,33,8/10/2001,5,SUV,Black,Toyota,,,Car Classic,0
ID_3XGNAOP,8/17/2001,8/17/2002,,120,8/17/2001,3,,Unknown,Toyota,Kaduna-North,Kaduna,Muuve,1
ID_HOW1Y5F,8/17/2001,8/17/2002,Male,42,8/17/2001,1,Saloon,Silver,Toyota,Nasarawa,Kano,Car Classic,0
ID_0N2X552,8/20/2001,8/20/2002,Female,33,8/20/2001,2,Saloon,Green,Honda,,,Car Classic,0
ID_U9QTMJM,9/1/2001,9/1/2002,Male,39,9/1/2001,4,Saloon,Black,Toyota,,,Car Classic,1
ID_LRF2KEM,9/4/2001,9/4/2002,Male,44,9/4/2001,4,Saloon,Black,Toyota,Kuje,Abuja,Car Classic,1
ID_THM9GMJ,9/5/2001,9/5/2002,Joint Gender,36,9/5/2001,1,Saloon,Blue,Toyota,,,Car Classic,1
ID_LW204TI,9/6/2001,9/6/2002,Male,43,9/6/2001,5,Saloon,Grey,Toyota,,,Car Classic,1
ID_LW4ZOYC,9/8/2001,9/8/2002,Male,37,9/8/2001,1,,,Ford,Ogbomoso,Oyo,Car Classic,0
ID_VCVRN1Y,9/24/2001,9/24/2002,Female,59,9/24/2001,5,,,,Nasarawa,Kano,Car Classic,1
ID_F935SDO,10/11/2001,10/11/2002,Male,58,10/11/2001,3,SUV,Brown,Hyundai,Obio-Akpor,Rivers,Car Classic,0
ID_G2LOKLR,10/12/2001,10/12/2002,Male,50,10/12/2001,3,Saloon,Blue,Mazda,,,CarSafe,0
ID_IXYC0FG,10/12/2001,10/12/2002,Female,52,10/12/2001,4,,Black,Mercedes,,,Car Classic,0
ID_M03LNDU,10/15/2001,10/15/2002,Male,50,10/15/2001,5,Saloon,Red,Toyota,Ogbomoso,Oyo,CarSafe,0
ID_7EQAGEM,10/16/2001,10/16/2002,Female,36,10/16/2001,5,SUV,White,Toyota,,,CarFlex,0
ID_F7BDX8J,10/25/2001,10/25/2002,Male,35,10/25/2001,5,Saloon,Silver,Toyota,,,Car Classic,0
ID_5YJB5IU,11/1/2001,11/1/2002,Male,37,11/1/2001,5,SUV,Black,Honda,Sagamu,Ogun,Car Classic,1
ID_QHXUX4K,11/2/2001,11/2/2002,Male,38,11/2/2001,5,,,Hyundai,Kuje,Abuja,Car Classic,1
ID_N7NPU9B,11/13/2001,11/13/2002,Male,41,11/13/2001,2,Truck,Blue,Mack,,,CVTP,0
ID_QEEEI8F,11/21/2001,11/21/2002,Male,43,11/21/2001,2,Saloon,Grey,Toyota,Bwari,Abuja,Car Classic,0
ID_WWOGAPM,11/21/2001,11/21/2002,Male,34,11/21/2001,5,,,Toyota,Effurun,Delta,Car Classic,1
ID_FT6DVBL,11/25/2001,11/25/2002,Male,39,11/25/2001,2,Wagon,Red,Toyota,Bonny,Rivers,Car Classic,0
ID_5QKH3BY,12/1/2001,12/1/2002,Male,54,12/1/2001,5,SUV,Red,Lexus,,,Car Classic,1
ID_VHTN6L5,12/3/2001,12/3/2002,Male,57,12/3/2001,5,Saloon,Cream,Toyota,,,Car Classic,1
ID_HIRTMNV,12/20/2001,12/20/2002,Male,56,12/20/2001,3,,Unknown,Iveco,Otukpo,Benue,CVTP,1
ID_VOQP7BT,12/21/2001,12/21/2002,Female,40,12/21/2001,4,Saloon,Grey,Hyundai,,,Car Classic,0
ID_Y75NLSI,12/25/2001,12/25/2002,Male,30,12/25/2001,5,Saloon,Black,Honda,,,CarSafe,0
ID_H78T0J9,12/25/2001,12/25/2002,Male,42,12/25/2001,2,,,,Nasarawa,Kano,Car Classic,0
ID_JTM0FXQ,12/26/2001,12/26/2002,Joint Gender,39,12/26/2001,2,SUV,Grey,Toyota,Ikeja,Lagos,Car Classic,0
ID_3WDR2F8,12/27/2001,12/27/2002,Female,32,12/27/2001,1,Saloon,Grey,Toyota,Tarauni,Kano,Car Classic,1
ID_MC20N8I,12/27/2001,12/27/2002,Male,20,12/27/2001,3,SUV,Green,Acura,Kuje,Abuja,Customized Motor,0
ID_OVRAF8K,12/28/2001,12/28/2002,Male,45,12/28/2001,2,Saloon,Black,Range Rover,Ado-Odo/Ota,Ogun,CarSafe,0
ID_QFYHY0F,12/29/2001,12/29/2002,,4,12/29/2001,2,Motorcycle,Black,Toyota,Otukpo,Benue,Motor Cycle,0
ID_RCC8YFZ,12/30/2001,12/30/2002,Male,46,12/30/2001,2,,,,Enugu-East,Enugu,CarSafe,0
ID_VU0AKHL,12/31/2001,12/31/2002,Joint Gender,30,12/31/2001,2,,,,,,CarSafe,0
ID_D4NST8Z,1/1/2002,1/1/2003,Female,32,1/1/2002,3,Saloon,Blue,Hyundai,Makurdi,Benue,Car Classic,0
ID_BIV8C5X,1/3/2002,1/3/2003,Male,29,1/3/2002,1,Saloon,White,Toyota,,,CarSafe,0
ID_F1NW431,1/3/2002,1/3/2003,Male,38,1/3/2002,4,Saloon,Blue,Honda,,,Car Plus,0
ID_8KBIIXA,1/6/2002,1/6/2003,Female,36,1/6/2002,2,,,Toyota,Gboko,Benue,Car Classic,0
ID_BPOJTKE,1/9/2002,1/9/2003,Male,35,1/9/2002,5,Saloon,Black,Toyota,Enugu-North,Enugu,Car Classic,1
ID_AU8S9L8,1/11/2002,1/11/2003,Male,26,1/11/2002,2,,,,,,Car Classic,0
ID_40C8RJM,1/12/2002,1/12/2003,Female,33,1/12/2002,2,,,,Enugu-North,Enugu,CarSafe,0
ID_8K3XJ81,1/13/2002,1/13/2003,Male,39,1/13/2002,2,Saloon,Red,Opel,,,CarSafe,0
ID_E4CBTJK,1/13/2002,1/13/2003,Male,36,1/13/2002,2,Saloon,Silver,Toyota,Gwagwalada,Abuja,Car Classic,0
ID_FBCKR5B,1/15/2002,1/15/2003,Male,34,1/15/2002,4,Saloon,Black,Toyota,Ikorodu,Lagos,Car Classic,0
ID_S9FJFJ1,1/16/2002,1/16/2003,Male,35,1/16/2002,3,Saloon,Red,Volkswagen,,,CarSafe,0
ID_NN3Q60H,1/20/2002,1/20/2003,Female,37,1/20/2002,2,Saloon,Unknown,Peugeot,,,Car Classic,1
ID_A8IB4O2,1/20/2002,1/20/2003,Female,57,1/20/2002,3,SUV,Gold,Toyota,Ado-Odo/Ota,Ogun,Car Classic,0
ID_GTXHSYR,1/26/2002,1/26/2003,Male,40,1/26/2002,2,Saloon,Black,Toyota,,,CarSafe,0
ID_GX01BW2,2/1/2002,2/1/2003,Male,36,2/1/2002,2,Saloon,Blue,Toyota,,,Car Classic,0
ID_RT10OPH,2/5/2002,2/5/2003,Male,37,2/5/2002,3,SUV,Brown,Toyota,,,Car Classic,1
ID_YOC28J1,2/5/2002,2/5/2003,Male,37,2/5/2002,4,Saloon,Black,Toyota,,,Car Classic,1
ID_E4LS1TC,2/8/2002,2/8/2003,,120,2/8/2002,3,,,Mitsubishi,,,Muuve,1
ID_PUX31XY,2/10/2002,2/10/2003,Male,44,2/10/2002,2,Saloon,Silver,Toyota,Kano Municipal,Kano,Car Classic,0
ID_M19S9Y7,2/12/2002,2/12/2003,Male,34,2/12/2002,3,Saloon,Blue,Toyota,Abeokuta,Ogun,Car Classic,1
ID_4RL3I16,2/13/2002,2/13/2003,Male,46,2/13/2002,4,,,,,,CarSafe,0
ID_X4AZUJC,2/19/2002,2/19/2003,Male,31,2/19/2002,2,,,,,,CarSafe,0
ID_CCSOS0Z,2/20/2002,2/20/2003,Male,43,2/20/2002,1,SUV,Black,Toyota,,,Car Classic,0
ID_PNTJILD,3/12/2002,3/12/2003,Male,54,3/12/2002,1,SUV,Blue,Toyota,Kano Municipal,Kano,CarSafe,0
ID_QOM16EB,3/12/2002,3/12/2003,Entity,10,3/12/2002,2,Saloon,White,Toyota,Ogbomoso,Oyo,Car Plus,1
ID_5HC5EHH,3/13/2002,3/13/2003,Female,33,3/13/2002,4,Saloon,Red,Toyota,Eti-Osa,Lagos,Car Classic,0
ID_24ZTR9A,3/16/2002,3/16/2003,Male,29,3/16/2002,2,,,,Bonny,Rivers,Car Classic,0
ID_N99K079,3/18/2002,3/18/2003,Male,45,3/18/2002,3,Saloon,Silver,Toyota,,,CarFlex,1
ID_F5ZZ25L,3/20/2002,3/20/2003,Male,1,3/20/2002,1,,,,Otukpo,Benue,CarSafe,0
ID_B61DX7Y,3/23/2002,3/23/2003,Female,41,3/23/2002,5,,,,Makurdi,Benue,Car Classic,1
ID_I6VBQGE,3/24/2002,3/24/2003,Male,38,3/24/2002,5,Saloon,Silver,Nissan,,,Car Classic,1
ID_ZXCWKWC,3/27/2002,3/27/2003,Male,34,3/27/2002,4,Saloon,White,Lexus,,,Car Plus,0
ID_EB5HXMH,4/1/2002,4/1/2003,Male,46,4/1/2002,2,Saloon,Blue,Honda,,,CarFlex,0
ID_4JJ1QSY,4/3/2002,4/3/2003,Female,41,4/3/2002,4,,,,Badagry,Lagos,CarFlex,0
ID_JZDSBA7,4/5/2002,4/5/2003,Male,39,4/5/2002,4,Saloon,Blue,Honda,,,CarSafe,0
ID_BAPWCAC,4/8/2002,4/8/2003,Male,25,4/8/2002,1,Saloon,Silver,Toyota,,,Car Classic,0
ID_RCMYJ0Z,4/11/2002,4/11/2003,Male,120,4/11/2002,5,,Blue & Red,Iveco,Ado-Odo/Ota,Ogun,CVTP,1
ID_7Q7X0WR,4/12/2002,4/12/2003,Male,52,4/12/2002,5,,Black,Honda,Ogbomoso,Oyo,Car Classic,1
ID_IEJN12S,4/19/2002,4/19/2003,Male,41,4/19/2002,3,Saloon,Green,Honda,Enugu-East,Enugu,Car Classic,0
ID_DQPCKNN,4/21/2002,4/21/2003,Entity,18,4/21/2002,2,Saloon,Black,Hyundai,Nsukka,Enugu,Customized Motor,1
ID_AVCYSJ2,4/22/2002,4/22/2003,Male,34,4/22/2002,1,Saloon,Red,Honda,,,CarSafe,0
ID_W9TR63G,4/25/2002,4/25/2003,Female,38,4/25/2002,3,Saloon,Silver,Mitsubishi,Kano Municipal,Kano,CarSafe,0
ID_2DF1Y6K,5/3/2002,5/3/2003,Female,51,5/3/2002,5,Saloon,White,Toyota,,,CarSafe,0
ID_1ZBH12O,5/7/2002,5/7/2003,Male,50,5/7/2002,4,Saloon,White,Nissan,Ogbomoso,Oyo,CarSafe,0
ID_FU3A1V7,5/7/2002,5/7/2003,Male,68,5/7/2002,4,,Unknown,Toyota,Enugu-North,Enugu,Car Classic,0
ID_1B7DUVA,5/12/2002,5/12/2003,Male,36,5/12/2002,3,,,,Surulere,Lagos,Car Classic,0
ID_TMY70DZ,5/13/2002,5/13/2003,Male,31,5/13/2002,3,Saloon,Grey,Toyota,,,Car Classic,1
ID_EK7XMLW,5/15/2002,5/15/2003,Male,42,5/15/2002,3,Saloon,Silver,Toyota,,,Car Classic,1
ID_4CAONPQ,5/16/2002,5/16/2003,Male,41,5/16/2002,4,SUV,Silver,Volvo,,,Car Classic,1
ID_4FSZG5Y,5/16/2002,5/16/2003,Male,46,5/16/2002,2,Saloon,Silver,Toyota,Kuje,Abuja,Car Classic,0
ID_0V08GID,5/23/2002,5/23/2003,Male,32,5/23/2002,5,Saloon,Red,Toyota,Kano Municipal,Kano,Car Classic,1
ID_J8YPSF1,5/26/2002,5/26/2003,Entity,10,5/26/2002,2,SUV,Black,Toyota,,,Car Plus,1
ID_6C1BJ3D,6/2/2002,6/2/2003,Female,37,6/2/2002,1,Mini Van,Black,Toyota,Ibadan-North,Oyo,Car Classic,0
ID_8L1JF29,6/9/2002,6/9/2003,Joint Gender,120,6/9/2002,2,SUV,Silver,Toyota,,,Car Classic,0
ID_U75EHYG,6/10/2002,6/10/2003,Entity,3,6/10/2002,5,Saloon,Silver,Lexus,,,Car Classic,0
ID_XKQ3SUF,6/10/2002,6/10/2003,Female,35,6/10/2002,3,Saloon,White,Hyundai,,,CarSafe,0
ID_K5VTM4U,6/16/2002,6/16/2003,Male,33,6/16/2002,1,Saloon,Silver,Mercedes,,,CarSafe,0
ID_I153Z46,6/19/2002,6/19/2003,Male,12,6/19/2002,5,Truck,White,Mitsubishi,Kuje,Abuja,CVTP,1
ID_T1W2UE7,6/20/2002,6/20/2003,Male,41,6/20/2002,4,SUV,Grey,Toyota,,,Car Classic,1
ID_U7ZE564,6/20/2002,6/20/2003,Entity,20,6/20/2002,5,Truck,Unknown,DAF,,,CVTP,1
ID_X6GF2PB,6/22/2002,6/22/2003,Entity,20,6/22/2002,2,,Unknown,,,,Muuve,1
ID_K9E0VDV,7/1/2002,7/1/2003,Male,33,7/1/2002,1,Saloon,Silver,Toyota,Bwari,Abuja,Car Classic,0
ID_4GL7LE3,7/4/2002,7/4/2003,Male,36,7/4/2002,2,SUV,White,Lexus,,,Car Classic,0
ID_WW2HCAC,7/4/2002,7/4/2003,Female,64,7/4/2002,2,Saloon,Silver,Toyota,Port Harcourt,Rivers,Car Classic,1
ID_W2YOEBR,7/5/2002,7/5/2003,Entity,10,7/5/2002,3,SUV,Black,Honda,,,Car Plus,1
ID_KAJNIKC,7/6/2002,7/6/2003,Male,1,7/6/2002,5,Saloon,Red,Peugeot,,,CarSafe,1
ID_M9VTI10,7/8/2002,7/8/2003,Male,36,7/8/2002,5,SUV,Black,Range Rover,,,Car Classic,0
ID_EPIM4UT,7/14/2002,7/14/2003,Joint Gender,28,7/14/2002,5,SUV,Silver,Mercedes,Tarauni,Kano,Car Classic,0
ID_ADLKMK6,7/16/2002,7/16/2003,,50,7/16/2002,4,,,,,,Car Plus,0
ID_2Z0MRCL,7/17/2002,7/17/2003,Male,78,7/17/2002,2,SUV,Black,Hyundai,,,Car Classic,0
ID_3BUZWFU,7/19/2002,7/19/2003,Female,37,7/19/2002,5,Mini Bus,Blue,Toyota,,,Car Classic,0
ID_S5H6G56,7/21/2002,7/21/2003,Female,79,7/21/2002,1,Saloon,Grey,Honda,,,Car Classic,0
ID_8MNXRC6,7/24/2002,7/24/2003,Male,36,7/24/2002,5,Saloon,Silver,Kia,Asaba,Delta,Car Classic,1
ID_T7SSEEY,7/24/2002,7/24/2003,Male,39,7/24/2002,2,SUV,Red,Ford,,,Car Classic,0
ID_Y59R2RJ,8/3/2002,8/3/2003,Male,63,8/3/2002,1,Saloon,Gold,Toyota,,,Car Classic,0
ID_H0T8T7K,8/4/2002,8/4/2003,Female,62,8/4/2002,5,SUV,Black,Toyota,,,CarFlex,0
ID_ZPQDZ6O,8/4/2002,8/4/2003,Female,33,8/4/2002,3,Saloon,Ash,Toyota,Abuja Municipal,Abuja,Car Classic,0
ID_NA034A9,8/5/2002,8/5/2003,Male,45,8/5/2002,5,Saloon,Black,Kia,,,Car Classic,1
