ID,Policy_Start_Date,Policy_End_Date,Gender,Age,First_Transaction_Date,Policy_Count,Car_Category,Car_Colour,Car_Make,LGA_Name,State,Product_Name,Target
ID_QOM16EB,2002-03-12,2003-03-12,Entity,10,2002-03-12,2,Saloon,White,Toyota,Ogbomoso,Oyo,Car Plus,1
ID_5HC5EHH,2002-03-13,2003-03-13,Female,33,2002-03-13,4,Saloon,Red,Toyota,Eti-Osa,Lagos,Car Classic,0
ID_24ZTR9A,2002-03-16,2003-03-16,Male,29,2002-03-16,2,Saloon,Black,Toyota,Bonny,Rivers,Car Classic,0
ID_N99K079,2002-03-18,2003-03-18,Male,45,2002-03-18,3,Saloon,Silver,Toyota,Kano Municipal,Kano,CarFlex,1
ID_F5ZZ25L,2002-03-20,2003-03-20,Male,40,2002-03-20,1,Saloon,Black,Toyota,Otukpo,Benue,CarSafe,0
ID_B61DX7Y,2002-03-23,2003-03-23,Female,41,2002-03-23,5,Saloon,Black,Toyota,Makurdi,Benue,Car Classic,1
ID_I6VBQGE,2002-03-24,2003-03-24,Male,38,2002-03-24,5,Saloon,Silver,Nissan,Kano Municipal,Kano,Car Classic,1
ID_ZXCWKWC,2002-03-27,2003-03-27,Male,34,2002-03-27,4,Saloon,White,Lexus,Kano Municipal,Kano,Car Plus,0
ID_EB5HXMH,2002-04-01,2003-04-01,Male,46,2002-04-01,2,Saloon,Blue,Honda,Kano Municipal,Kano,CarFlex,0
ID_4JJ1QSY,2002-04-03,2003-04-03,Female,41,2002-04-03,4,Saloon,Black,Toyota,Badagry,Lagos,CarFlex,0
ID_JZDSBA7,2002-04-05,2003-04-05,Male,39,2002-04-05,4,Saloon,Blue,Honda,Kano Municipal,Kano,CarSafe,0
ID_BAPWCAC,2002-04-08,2003-04-08,Male,25,2002-04-08,1,Saloon,Silver,Toyota,Kano Municipal,Kano,Car Classic,0
ID_RCMYJ0Z,2002-04-11,2003-04-11,Male,40,2002-04-11,5,Saloon,Blue & Red,Iveco,Ado-Odo/Ota,Ogun,CVTP,1
ID_7Q7X0WR,2002-04-12,2003-04-12,Male,52,2002-04-12,5,Saloon,Black,Honda,Ogbomoso,Oyo,Car Classic,1
ID_IEJN12S,2002-04-19,2003-04-19,Male,41,2002-04-19,3,Saloon,Green,Honda,Enugu-East,Enugu,Car Classic,0
ID_DQPCKNN,2002-04-21,2003-04-21,Entity,18,2002-04-21,2,Saloon,Black,Hyundai,Nsukka,Enugu,Customized Motor,1
ID_AVCYSJ2,2002-04-22,2003-04-22,Male,34,2002-04-22,1,Saloon,Red,Honda,Kano Municipal,Kano,CarSafe,0
ID_W9TR63G,2002-04-25,2003-04-25,Female,38,2002-04-25,3,Saloon,Silver,Mitsubishi,Kano Municipal,Kano,CarSafe,0
ID_2DF1Y6K,2002-05-03,2003-05-03,Female,51,2002-05-03,5,Saloon,White,Toyota,Kano Municipal,Kano,CarSafe,0
ID_1ZBH12O,2002-05-07,2003-05-07,Male,50,2002-05-07,4,Saloon,White,Nissan,Ogbomoso,Oyo,CarSafe,0
ID_FU3A1V7,2002-05-07,2003-05-07,Male,68,2002-05-07,4,Saloon,Unknown,Toyota,Enugu-North,Enugu,Car Classic,0
ID_1B7DUVA,2002-05-12,2003-05-12,Male,36,2002-05-12,3,Saloon,Black,Toyota,Surulere,Lagos,Car Classic,0
ID_TMY70DZ,2002-05-13,2003-05-13,Male,31,2002-05-13,3,Saloon,Grey,Toyota,Kano Municipal,Kano,Car Classic,1
ID_EK7XMLW,2002-05-15,2003-05-15,Male,42,2002-05-15,3,Saloon,Silver,Toyota,Kano Municipal,Kano,Car Classic,1
ID_4CAONPQ,2002-05-16,2003-05-16,Male,41,2002-05-16,4,SUV,Silver,Volvo,Kano Municipal,Kano,Car Classic,1
ID_4FSZG5Y,2002-05-16,2003-05-16,Male,46,2002-05-16,2,Saloon,Silver,Toyota,Kuje,Abuja,Car Classic,0
ID_0V08GID,2002-05-23,2003-05-23,Male,32,2002-05-23,5,Saloon,Red,Toyota,Kano Municipal,Kano,Car Classic,1
ID_J8YPSF1,2002-05-26,2003-05-26,Entity,10,2002-05-26,2,SUV,Black,Toyota,Kano Municipal,Kano,Car Plus,1
ID_6C1BJ3D,2002-06-02,2003-06-02,Female,37,2002-06-02,1,Mini Van,Black,Toyota,Ibadan-North,Oyo,Car Classic,0
ID_8L1JF29,2002-06-09,2003-06-09,Joint Gender,40,2002-06-09,2,SUV,Silver,Toyota,Kano Municipal,Kano,Car Classic,0
ID_U75EHYG,2002-06-10,2003-06-10,Entity,3,2002-06-10,5,Saloon,Silver,Lexus,Kano Municipal,Kano,Car Classic,0
ID_XKQ3SUF,2002-06-10,2003-06-10,Female,35,2002-06-10,3,Saloon,White,Hyundai,Kano Municipal,Kano,CarSafe,0
ID_K5VTM4U,2002-06-16,2003-06-16,Male,33,2002-06-16,1,Saloon,Silver,Mercedes,Kano Municipal,Kano,CarSafe,0
ID_I153Z46,2002-06-19,2003-06-19,Male,40,2002-06-19,5,Truck,White,Mitsubishi,Kuje,Abuja,CVTP,1
